"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"
16	2	29.3	1	2	0	32	12	20	17	5.22	1.5
14	14	87.3	7	1	0	91	27	77	35	3.61	1.35
30	30	184	11	10	0	184	44	173	80	3.91	1.24
45	0	41.7	4	1	18	50	18	14	23	4.97	1.63
27	0	30	3	0	0	27	19	34	12	3.6	1.53
31	31	188.3	13	10	0	188	70	139	77	3.68	1.37
9	9	51.3	2	6	0	56	13	23	23	4.03	1.34
27	27	152.3	12	8	0	123	70	166	59	3.49	1.27
31	30	155.7	11	9	0	194	57	68	95	5.49	1.61
10	9	39.7	0	4	0	50	26	27	36	8.17	1.92
48	0	55.3	3	1	0	50	33	55	26	4.23	1.5
22	21	107.7	5	5	0	109	52	100	51	4.26	1.5
12	0	6.3	0	0	0	9	4	1	4	5.68	2.05
7	0	7	0	0	0	3	1	8	0	0	0.57
4	2	12	1	0	0	14	7	10	7	5.25	1.75
57	0	55.7	4	5	6	65	14	35	28	4.53	1.42
16	0	17.7	2	0	0	19	8	6	9	4.58	1.53
4	0	2.7	0	0	0	5	1	1	4	13.5	2.25
42	3	80	5	3	1	60	21	96	19	2.14	1.01
31	31	183.3	9	10	0	181	42	116	76	3.73	1.22
24	24	163.3	12	5	0	161	40	130	68	3.75	1.23
16	16	93.7	5	7	0	103	31	43	44	4.23	1.43
8	3	20.7	1	2	0	31	7	15	13	5.66	1.84
31	31	182	9	15	0	172	72	117	79	3.91	1.34
31	0	33	1	2	1	28	15	23	8	2.18	1.3
5	4	21.3	1	3	0	29	15	14	19	8.02	2.06
28	6	58.3	0	2	0	51	41	53	27	4.17	1.58
31	31	223.3	22	3	0	214	34	170	63	2.54	1.11
33	33	210.3	16	6	0	202	66	152	75	3.21	1.27
51	0	66	0	4	13	68	27	52	28	3.82	1.44
4	4	24	4	0	0	20	6	15	7	2.63	1.08
72	0	69.3	2	0	41	50	35	92	15	1.95	1.23
26	1	46.7	2	3	0	59	6	27	21	4.05	1.39
34	34	204.7	17	9	0	187	64	184	93	4.09	1.23
34	33	227	18	5	0	182	84	265	66	2.62	1.17
64	0	70.3	2	5	0	66	24	57	35	4.48	1.28
66	0	57.3	3	3	5	57	26	43	20	3.14	1.45
50	0	46.3	2	2	1	41	9	40	19	3.69	1.08
14	14	76	6	4	0	74	32	67	33	3.91	1.4
